name,bus,p_schedule_mw,p_result_raw_mw,result_sign_reversed,p_result_mw,delta_p_mw,participates_observed,observed_share
gen_DE0_8_OCGT,DE0_8,0.003525666892528534,0.003525666892528535,0,0.003525666892528535,8.673617379884035e-19,0,0.0
gen_DE0_9_CCGT,DE0_9,0.0052957418374717236,0.005295741837471724,0,0.005295741837471724,8.673617379884035e-19,0,0.0
gen_FR0_11_CCGT,FR0_11,0.006468252744525671,0.006468252744525672,0,0.006468252744525672,8.673617379884035e-19,0,0.0
gen_FR0_4_CCGT,FR0_4,0.006613509263843298,0.006613509263843297,0,0.006613509263843297,-8.673617379884035e-19,0,0.0
gen_PL0_2_CCGT,PL0_2,0.006287733558565378,0.006287733558565379,0,0.006287733558565379,8.673617379884035e-19,0,0.0
gen_BE0_1_0_offwind-float,BE0_1,0.004049747716635466,0.0040497477166354665,0,0.0040497477166354665,8.673617379884035e-19,0,0.0
gen_FR0_0_0_offwind-float,FR0_0,0.0043126377277076244,0.004312637727707625,0,0.004312637727707625,8.673617379884035e-19,0,0.0
gen_FR0_5_0_offwind-float,FR0_5,0.0026046785060316324,0.0026046785060316316,0,0.0026046785060316316,-8.673617379884035e-19,0,0.0
gen_FR0_7_0_offwind-float,FR0_7,0.004232682287693024,0.0042326822876930245,0,0.0042326822876930245,8.673617379884035e-19,0,0.0
gen_FR0_8_0_offwind-float,FR0_8,0.004414777271449566,0.004414777271449567,0,0.004414777271449567,8.673617379884035e-19,0,0.0
gen_FR0_9_0_offwind-float,FR0_9,0.004475940950214863,0.004475940950214864,0,0.004475940950214864,8.673617379884035e-19,0,0.0
gen_DE0_24_0_offwind-ac,DE0_24,0.0044262465089559555,0.004426246508955956,0,0.004426246508955956,8.673617379884035e-19,0,0.0
gen_DE0_5_0_offwind-ac,DE0_5,0.004882137756794691,0.00488213775679469,0,0.00488213775679469,-8.673617379884035e-19,0,0.0
gen_FR0_2_0_offwind-ac,FR0_2,0.007369020953774452,0.007369020953774453,0,0.007369020953774453,8.673617379884035e-19,0,0.0
gen_DE0_17_oil,DE0_17,0.001671217498369515,0.0016712174983695156,0,0.0016712174983695156,6.505213034913027e-19,0,0.0
